,Airport,Type,City,Country,IATA,ICAO,FAA
77,Negril,Small airport,Negril,Jamaica,NEG,MKNG,
78,Nejjo,Small airport,Nejjo,Ethiopia,NEJ,HANJ,
79,Nekemte,Small airport,Nekemte,Ethiopia,NEK,HANK,
80,Lakehurst Maxfield Field,Medium airport,Lakehurst,United States,NEL,KNEL,NEL
81,Whitehouse Naval Outlying Field,Small airport,Jacksonville,United States,NEN,KNEN,NEN
82,Chulman,Medium airport,Neryungri,Russia,NER,UELL,
83,East 34th St LandingClosed,Closed,New York,United States,NES,,
84,Sam Neua,Medium airport,,Laos,NEU,VLSN,
85,Vance W. Amory International,Medium airport,Charlestown,Saint Kitts and Nevis,NEV,TKPN,
86,Lakefront,Medium airport,New Orleans,United States,NEW,KNEW,NEW
87,Nefteyugansk,Medium airport,Nefteyugansk,Russia,NFG,USRN,
88,Fallon Naval Air Station,Medium airport,Fallon,United States,NFL,KNFL,NFL
89,Mata'aho,Small airport,"Angaha, Niuafo'ou Island",Tonga,NFO,NFTO,
90,NafooraClosed,Closed,Nafoora,Libya,NFR,,
91,Young,Medium airport,,Australia,NGA,YYNG,
92,Ningbo Lishe International,Large airport,Ningbo,China,NGB,ZSNB,
93,North RimClosed,Closed,Grand Canyon,United States,NGC,,
94,Captain Auguste George,Small airport,Anegada,British Virgin Islands,NGD,TUPA,
95,N'Gaoundéré,Medium airport,N'Gaoundéré,Cameroon,NGE,FKKN,
96,Kaneohe Bay MCAS (Marion E. Carl Field),Medium airport,Kaneohe,United States,NGF,PHNG,NGF
97,Ngau,Small airport,Ngau,Fiji,NGI,NFNG,
98,Nogliki,Small airport,Nogliki-Sakhalin Island,Russia,NGK,,
99,Ngala,Small airport,Ngala,South Africa,NGL,FANG,
0,Agana NASClosed,Closed,Agana,Guam,NGM,,
1,NarganaClosed,Closed,Nargana,Panama,NGN,,
2,Chubu Centrair International,Large airport,Tokoname,Japan,NGO,RJGG,
3,Ngari Gunsa,Medium airport,Shiquanhe,China,NGQ,ZUAL,
4,NingerumClosed,Closed,Ningerum,Papua New Guinea,NGR,,
5,Nagasaki,Medium airport,Nagasaki,Japan,NGS,RJFU,
6,Nas ChambersClosed,Closed,Norfolk,United States,NGU,,
7,NgivaClosed,Closed,Ngiva,Angola,NGV,,
8,Manang,Small airport,Ngawal,Nepal,NGX,VNMA,
9,Alameda Naval Air StationClosed,Closed,Alameda,United States,NGZ,KNGZ,
10,Nha Trang Air BaseClosed,Closed,Nha Trang,Vietnam,NHA,VVNT,
11,Al Minhad Air Base,Medium airport,Dubai,United Arab Emirates,NHD,OMDM,
12,New Halfa,Small airport,New Halfa,Sudan,NHF,HSNW,
13,Patuxent River NASClosed,Closed,"Patuxent River, MD",United States,NHK,,
14,Nushki,Small airport,Nushki,Pakistan,NHS,OPNK,
15,RAF Northolt,Medium airport,London,United Kingdom,NHT,EGWU,
16,Nuku Hiva,Medium airport,,French Polynesia,NHV,NTMD,
17,Naval Outlying Field Barin,Small airport,Foley,United States,NHX,KNBJ,NBJ
18,Brunswick Executive,Medium airport,Brunswick,United States,NHZ,KBXM,BXM
19,Nimba,Small airport,Nimba,Liberia,NIA,GLNA,
20,NikolaiClosed,Closed,Nikolai,United States,NIB,,
21,Nicosia InternationalClosed,Closed,Nicosia,Cyprus,NIC,LCNC,
22,NiblackClosed,Closed,Niblack,United States,NIE,,
23,Camp Nifty,Small airport,,Australia,NIF,YCNF,
24,Nikunau,Small airport,Nikunau,Kiribati,NIG,NGNU,
25,Niokolo KobaClosed,Closed,Niokolo Koba,Senegal,NIK,,
26,Diori Hamani International,Medium airport,Niamey,Niger,NIM,DRRN,
27,NinilchikClosed,Closed,Ninilchik,United States,NIN,,
28,Nioki,Small airport,Nioki,Congo (Kinshasa),NIO,FZBI,
29,Jacksonville NASClosed,Closed,"Jacksonville, FL",United States,NIP,,
30,Chase Field NASClosed,Closed,"Beeville, TX",United States,NIR,,
31,Simberi,Small airport,Simberi Island,Papua New Guinea,NIS,AYSE,
32,Niort-Souché,Medium airport,Niort/Souché,France,NIT,LFBN,
33,Nioro du Sahel,Small airport,Nioro du Sahel,Mali,NIX,GANR,
34,Atsugi Naval Air Facility,Medium airport,,Japan,NJA,RJTA,
35,Nizhnevartovsk,Medium airport,Nizhnevartovsk,Russia,NJC,USNN,
36,Al Najaf International,Small airport,Najaf,Iraq,NJF,ORNI,
37,NAF El CentroClosed,Closed,"El Centro, CA",United States,NJK,,
38,NkanClosed,Closed,Nkan,Gabon,NKA,,
39,[Duplicate] NoonkanbahClosed,Closed,Noonkanbah,Australia,NKB,,
40,Nouakchott InternationalClosed,Closed,Nouakchott,Mauritania,NKC,GQNN,
41,SinakClosed,Closed,Sinak,Indonesia,NKD,,
42,Nanjing Lukou,Large airport,Nanjing,China,NKG,ZSNJ,
43,Naukati Bay,Seaplane base,Tuxekan Island,United States,NKI,AK62,AK62
44,Naukati Bay Seaplane BaseClosed,Closed,Tuxekan Island,United States,NKI,,
45,N'Kolo-Fuma,Small airport,N'Kolo-Fuma,Congo (Kinshasa),NKL,FZAR,
46,Nagoya,Medium airport,Nagoya,Japan,NKM,RJNA,
47,Nankina,Small airport,Gwarawon,Papua New Guinea,NKN,AYNA,
48,Nkongsamba,Small airport,Nkongsamba,Cameroon,NKS,FKAN,
49,Şırnak Şerafettin Elçi,Medium airport,Şırnak,Turkey,NKT,LTCV,
50,Nkaus,Small airport,Nkaus,Lesotho,NKU,FXNK,
51,Diego Garcia Naval Support Facility,Medium airport,Diego Garcia,British Indian Ocean Territory,NKW,FJDG,
52,Miramar Marine Corps Air Station - Mitscher Field,Medium airport,San Diego,United States,NKX,KNKX,NKX
53,Yokangassi,Small airport,Nkayi,Congo (Brazzaville),NKY,FCBY,
54,Simon Mwansa Kapwepwe International,Medium airport,Ndola,Zambia,NLA,FLSK,
55,Lemoore Naval Air Station (Reeves Field),Medium airport,Lemoore,United States,NLC,KNLC,NLC
56,Quetzalcóatl International,Medium airport,Nuevo Laredo,Mexico,NLD,MMNL,
57,Jerry Tyler Memorial,Small airport,Niles,United States,NLE,3TR,3TR
58,Darnley Island,Small airport,Darnley Island,Australia,NLF,YDNI,
59,Nelson Lagoon,Small airport,Nelson Lagoon,United States,NLG,PAOU,OUL
60,Ninglang Luguhu,Medium airport,Ninglang,China,NLH,,
61,Nikolayevsk-na-Amure,Medium airport,Nikolayevsk-na-Amure Airport,Russia,NLI,UHNN,
62,Norfolk Island International,Medium airport,Burnt Pine,Norfolk Island,NLK,YSNF,
63,Nullagine,Small airport,,Australia,NLL,YNUL,
64,Kneeland,Small airport,Eureka,United States,NLN,O19,O19
65,Ndolo,Medium airport,N'dolo,Congo (Kinshasa),NLO,FZAB,
66,Nelspruit,Small airport,Nelspruit,South Africa,NLP,FANS,
67,Nicholson,Small airport,,Australia,NLS,YNIC,
68,Xinyuan Nalati,Medium airport,Xinyuan County,China,NLT,ZWNL,
69,Santa Lucia Air Force Base,Small airport,Reyes Acozac,Mexico,NLU,MMSM,
70,Mykolaiv International,Medium airport,Nikolayev,Ukraine,NLV,UKON,
71,Namangan,Small airport,Namangan,Uzbekistan,NMA,UTFN,
72,Daman,Medium airport,,India,NMB,VADN,
73,Normans Cay,Medium airport,,Bahamas,NMC,MYEN,
74,Nightmute,Small airport,Nightmute,United States,NME,PAGT,IGT
75,San MiguelClosed,Closed,Isla del Rey,Panama,NMG,,
76,Fort McMurray / Mildred Lake,Small airport,Fort McMurray,Canada,NML,CER4,
77,Nomane,Small airport,Namane,Papua New Guinea,NMN,AYNO,
78,New Moon,Small airport,Basalt,Australia,NMP,YNMN,
79,Nappa Merrie,Small airport,,Australia,NMR,YNAP,
80,Namsang,Medium airport,Namsang,Burma,NMS,VYNS,
81,Namtu,Small airport,Namtu,Burma,NMT,VYNU,
82,NamuClosed,Closed,Namu,Marshall Islands,NMU,,
83,Kenitra,Medium airport,,Morocco,NNA,GMMY,
84,Santa Ana,Small airport,Santa Ana Island,Solomon Islands,NNB,AGGT,
85,NangadeClosed,Closed,Nangade,Mozambique,NND,,
86,Nanning Wuxu,Large airport,Nanning,China,NNG,ZGNN,
87,Namutoni,Small airport,Namutoni,Namibia,NNI,FYNA,
88,Naknek,Small airport,Naknek,United States,NNK,5NK,5NK
89,Nondalton,Small airport,Nondalton,United States,NNL,PANO,5NN
90,Naryan Mar,Medium airport,Naryan Mar,Russia,NNM,ULAM,
91,Connemara Regional,Small airport,Inverin,Ireland,NNR,EICA,
92,Nan,Medium airport,,Thailand,NNT,VTCN,
93,Nanuque,Small airport,Nanuque,Brazil,NNU,SNNU,
94,Nunukan,Small airport,Nunukan-Nunukan Island,Indonesia,NNX,WALF,
95,Nanyang Jiangying,Small airport,Nanyang,China,NNY,ZHNY,
96,Nowra,Medium airport,,Australia,NOA,YSNW,
97,Nosara,Medium airport,Nicoya,Costa Rica,NOB,MRNS,
98,Ireland West Knock,Medium airport,Charleston,Ireland,NOC,EIKN,
99,Norden-Norddeich,Small airport,Norddeich,Germany,NOD,EDWS,
0,NorddeichClosed,Closed,Norddeich,Germany,NOE,,
1,Nogales International,Small airport,,Mexico,NOG,MMNG,
2,Chicago NASClosed,Closed,Chicago,United States,NOH,,
3,NovorossijskClosed,Closed,Novorossijsk,Russia,NOI,,
4,Noyabrsk,Medium airport,Noyabrsk,Russia,NOJ,USRO,
5,Xavantina,Small airport,Nova Xavantina,Brazil,NOK,SWXV,
6,Nakolik RiverClosed,Closed,Nakolik River,United States,NOL,,
7,Nomad River,Small airport,Nomad River,Papua New Guinea,NOM,,
8,Nonouti,Small airport,Nonouti,Kiribati,NON,NGTO,
9,Naoro,Small airport,Naoro Vilage,Papua New Guinea,NOO,,
10,Sinop,Small airport,Sinop,Turkey,NOP,LTCM,
11,Norðfjörður,Small airport,Norðfjörður,Iceland,NOR,BINF,
12,Fascene,Medium airport,Nosy Be,Madagascar,NOS,FMNN,
13,Marin County - Gnoss Field,Small airport,Novato,United States,NOT,KDVO,DVO
14,La Tontouta International,Medium airport,Nouméa,New Caledonia,NOU,NWWW,
15,Nova Lisboa,Medium airport,Huambo,Angola,NOV,FNHU,
16,Spichenkovo,Medium airport,Novokuznetsk,Russia,NOZ,UNWW,
17,Pensacola Naval Air Station/Forrest Sherman Field,Medium airport,Pensacola,United States,NPA,KNPA,NPA
18,Hawke's Bay,Medium airport,Napier,New Zealand,NPE,NZNR,
19,NipaClosed,Closed,Nipa,Papua New Guinea,NPG,,
20,Nephi Municipal,Small airport,Nephi,United States,NPH,U14,U14
21,New Plymouth,Medium airport,New Plymouth,New Zealand,NPL,NZNP,
22,Nanga Pinoh,Medium airport,Nanga Pinoh-Borneo Island,Indonesia,NPO,WIOG,
23,Napperby,Small airport,Napperby,Australia,NPP,YNPB,
24,San PedroClosed,Closed,San Pedro de Urabá,Colombia,NPU,,
25,Millington Regional Jetport,Medium airport,Millington,United States,NQA,KNQA,NQA
26,Kingsville Naval Air Station,Medium airport,Kingsville,United States,NQI,KNQI,NQI
27,Niquelândia,Small airport,Niquelândia,Brazil,NQL,SWNQ,
28,Presidente Peron,Medium airport,Neuquen,Argentina,NQN,SAZN,
29,Nottingham,Medium airport,Nottingham,United Kingdom,NQT,EGBN,
30,Reyes Murillo,Small airport,Nuquí,Colombia,NQU,SKNQ,
31,Naval Air Station Key West/Boca Chica Field,Medium airport,Key West,United States,NQX,KNQX,NQX
32,Newquay Cornwall,Medium airport,Newquay,United Kingdom,NQY,EGHQ,
33,Narrandera,Medium airport,Narrandera,Australia,NRA,YNAR,
34,Naval Station Mayport (Admiral David L. Mcdonald Field),Medium airport,Mayport,United States,NRB,KNRB,NRB
35,NASA Crows Landing,Airport,Crows Landing,United States,NRC,KNRC,CA93
36,NASA Crows LandingClosed,Closed,Crows Landing,United States,NRC,,
37,Norderney,Small airport,Norderney,Germany,NRD,EDWY,
38,Namrole,Small airport,Namrole-Buru Island,Indonesia,NRE,WAPG,
39,Narrogin,Small airport,Narrogin,Australia,NRG,YNRG,
40,Grand Lake Regional,Small airport,Afton,United States,NRI,3O9,3O9
41,Norrköping,Medium airport,Norrköping,Sweden,NRK,ESSP,
42,North Ronaldsay,Small airport,North Ronaldsay,United Kingdom,NRL,EGEN,
43,Nara,Small airport,Nara,Mali,NRM,GANK,
44,Weeze,Medium airport,Weeze,Germany,NRN,EDLV,
45,José Aponte de la Torre,Small airport,Ceiba,Puerto Rico,NRR,TJRV,RVR
46,Narita International,Large airport,Tokyo,Japan,NRT,RJAA,
47,NewryClosed,Closed,Newry,Australia,NRY,,
48,NoosaClosed,Closed,Noosa,Australia,NSA,,
49,Bimini North,Seaplane base,Bimini,Bahamas,NSB,,
50,Whiting Field Naval Air Station - North,Medium airport,Milton,United States,NSE,KNSE,NSE
51,Andrews NAFClosed,Closed,Camp Springs,United States,NSF,KNSF,
52,Noshahr,Medium airport,,Iran,NSH,OINN,
53,Yaoundé Nsimalen International,Medium airport,Yaoundé,Cameroon,NSI,FKYS,
54,Norilsk-Alykel,Medium airport,Norilsk,Russia,NSK,UOOO,
55,Norseman,Small airport,,Australia,NSM,YNSM,
56,Nelson,Medium airport,Nelson,New Zealand,NSN,NZNS,
57,Scone,Small airport,,Australia,NSO,YSCO,
58,Nakhon Si Thammarat,Medium airport,Nakhon Si Thammarat,Thailand,NST,VTSF,
59,Hovercraft/Launch PtClosed,Closed,N. Sound/Virgin Gorda,British Virgin Islands,NSX,,
60,Sigonella Navy Air Base,Medium airport,Sigonella (CT),Italy,NSY,LICZ,
61,NatadolaClosed,Closed,Mbatiri,Fiji,NTA,,
62,Notodden,Medium airport,Notodden,Norway,NTB,ENNO,
63,Paradise IslandClosed,Closed,Santa Carolina,Mozambique,NTC,,
64,Point Mugu Naval Air Station (Naval Base Ventura Co),Medium airport,Point Mugu,United States,NTD,KNTD,NTD
65,Nantes Atlantique,Medium airport,Nantes,France,NTE,LFRS,
66,Nantong,Small airport,Nantong,China,NTG,ZSNT,
67,Stenkol,Small airport,Bintuni,Indonesia,NTI,WASB,
68,Manti-Ephraim,Small airport,Manti,United States,NTJ,41U,41U
69,Newcastle,Medium airport,Williamtown,Australia,NTL,YWLM,
70,Miracema Do NorteClosed,Closed,Miracema Do Norte,Brazil,NTM,,
71,Normanton,Medium airport,Normanton,Australia,NTN,YNTN,
72,Agostinho Neto,Small airport,Ponta do Sol,Cape Verde,NTO,GVAN,
73,Noto,Medium airport,Wajima,Japan,NTQ,RJNW,
74,Del Norte International,Medium airport,,Mexico,NTR,MMAN,
75,Kuini Lavenia,Small airport,Niuatoputapu,Tonga,NTT,NFTP,
76,NAS OceanaClosed,Closed,"Virginia Beach, VA",United States,NTU,,
77,Ranai,Medium airport,Ranai-Natuna Besar Island,Indonesia,NTX,WION,
78,Pilanesberg International,Small airport,Pilanesberg,South Africa,NTY,FAPN,
79,Numbulwar,Small airport,,Australia,NUB,YNUM,
80,En Nahud,Small airport,En Nahud,Sudan,NUD,HSNH,
81,Nuremberg,Large airport,Nuremberg,Germany,NUE,EDDN,
82,Nuguria Airstrip,Small airport,Nuguria Island,Papua New Guinea,NUG,AYNI,
83,Nunchia,Airport,Nunchia,Colombia,NUH,,
84,Nuiqsut,Medium airport,Nuiqsut,United States,NUI,PAQT,AQT
85,Nukutavake,Small airport,Nukutavake,French Polynesia,NUK,NTGW,
86,NulatoClosed,Closed,Nulato,United States,NUL,,
87,Nunapitchuk,Small airport,Nunapitchuk,United States,NUP,PPIT,16A
88,Moffett FieldClosed,Closed,Mountain View,United States,NUQ,,
89,Nullabor Motel,Small airport,,Australia,NUR,YNUB,
90,Norsup,Small airport,Norsup,Vanuatu,NUS,NVSP,
91,NutuveClosed,Closed,Nutuve,Papua New Guinea,NUT,,
92,Nakuru,Small airport,Nakuru,Kenya,NUU,HKNK,
93,Whidbey Island NAS (Ault Field)Closed,Closed,"Oak Harbor, WA",United States,NUW,,
94,Novy Urengoy,Medium airport,Novy Urengoy,Russia,NUX,USMU,
95,Benito Salas,Medium airport,Neiva,Colombia,NVA,SKNV,
96,Nevada MunicipalClosed,Closed,"Nevada, MO",United States,NVD,,
97,Nueva Guinea,Small airport,Nueva Guinea,Nicaragua,NVG,MNNG,
98,Navoi,Small airport,Navoi,Uzbekistan,NVI,UTSA,
99,Narvik Framnes,Medium airport,Narvik,Norway,NVK,ENNK,
0,Nervino,Small airport,Beckwourth,United States,NVN,KO02,O02
1,Novo Aripuanã,Small airport,Novo Aripuanã,Brazil,NVP,SWNA,
2,NovgorodClosed,Closed,Velikiy Novgorod,Russia,NVR,ULNN,
3,Nevers-Fourchambault,Medium airport,Nevers/Fourchambault,France,NVS,LFQG,
4,Ministro Victor Konder International,Medium airport,Navegantes,Brazil,NVT,SBNF,
5,Neyveli,Small airport,Neyveli,India,NVY,VONV,
6,Mohéli Bandar Es Eslam,Medium airport,,Comoros,NWA,FMCI,
7,Parlin FieldClosed,Closed,Newport,United States,NWH,,
8,Norwich International,Large airport,Norwich,United Kingdom,NWI,EGSH,
9,NSClosed,Closed,Argentia,Canada,NWP,,
10,Pier 11/Wall St. SPBClosed,Closed,New York,United States,NWS,,
11,NowataClosed,Closed,,Papua New Guinea,NWT,,
12,Willow Grove NASClosed,Closed,Willow Grove,United States,NXX,,
13,Nyagan,Medium airport,Nyagan,Russia,NYA,USHN,
14,Nyeri,Small airport,Nyeri,Kenya,NYE,HKNI,
15,Quantico NASClosed,Closed,"Quantico, VA",United States,NYG,,
16,Sunyani,Medium airport,Sunyani,Ghana,NYI,DGSN,
17,Nanyuki,Medium airport,Nanyuki,Kenya,NYK,HKNY,
18,Nadym,Medium airport,Nadym,Russia,NYM,USMM,
19,Nyngan,Small airport,,Australia,NYN,YNYN,
20,Stockholm Skavsta,Medium airport,Stockholm / Nyköping,Sweden,NYO,ESKN,
21,Naypyidaw,Medium airport,Pyinmana,Burma,NYT,VYNT,
22,Nzagi,Small airport,Nzagi,Angola,NZA,FNZG,
23,Maria Reiche Neuman,Medium airport,Nazca,Perú,NZC,SPZA,
24,Nzérékoré,Small airport,Nzérékoré,Guinea,NZE,GUNZ,
25,Manzhouli Xijiao,Medium airport,,China,NZH,ZBMZ,
26,South WeymouthClosed,Closed,South Weymouth,United States,NZW,,
27,North Island Naval Air Station-Halsey Field,Medium airport,San Diego,United States,NZY,KNZY,NZY
0,Carmel ValleyClosed,Closed,,United States,O62,,
1,Shank Air Base,Small airport,,Afghanistan,OAA,OASH,
2,Orange,Medium airport,Orange,Australia,OAG,YORG,
3,Shindand,Small airport,,Afghanistan,OAH,OASD,
4,Bagram Air Base,Medium airport,Bagram,Afghanistan,OAI,OAIX,
5,Albert J Ellis,Medium airport,Jacksonville,United States,OAJ,KOAJ,OAJ
6,Metropolitan Oakland International,Large airport,Oakland,United States,OAK,KOAK,OAK
7,Cacoal,Small airport,Cacoal,Brazil,OAL,SSKW,
8,Oamaru,Medium airport,,New Zealand,OAM,NZOU,
9,El Arrayán,Small airport,Olanchito,Honduras,OAN,MHOA,
10,Marina Municipal,Small airport,Marina,United States,OAR,KOAR,OAR
11,Sharana Airstrip,Small airport,Sharana,Afghanistan,OAS,OASA,
12,Xoxocotlán International,Medium airport,Oaxaca,Mexico,OAX,MMOX,
13,Camp Bastion,Small airport,,Afghanistan,OAZ,OAZI,
14,ObanClosed,Closed,Oban,Australia,OBA,,
15,Obock,Small airport,Obock,Djibouti,OBC,HDOB,
16,Obano,Small airport,Obano-Papua Island,Indonesia,OBD,WABR,
17,Oberpfaffenhofen,Medium airport,,Germany,OBF,EDMO,
18,Sky HarborClosed,Closed,Northbrook,United States,OBK,,
19,Zoersel (Oostmalle) Airfield,Small airport,Zoersel,Belgium,OBL,EBZR,
20,Morobe,Small airport,Morobe,Papua New Guinea,OBM,AYMB,
21,Oban,Small airport,North Connel,United Kingdom,OBN,EGEO,
22,Tokachi-Obihiro,Medium airport,Obihiro,Japan,OBO,RJCB,
23,Aubenas-Ardèche Méridional,Medium airport,Aubenas/Ardèche Méridional,France,OBS,LFHO,
24,Oakland/Coliseum StatClosed,Closed,"Oakland, MD",United States,OBT,,
25,Kobuk,Small airport,Kobuk,United States,OBU,PAOB,OBU
26,Obo,Small airport,Obo,Papua New Guinea,OBX,AYOB,
27,Ittoqqortoormiit,Heliport,Ittoqqortoormiit,Greenland,OBY,BGSC,
28,Ocean Reef Club,Small airport,Key Largo,United States,OCA,07FA,07FA
29,Francisco De Orellana,Medium airport,Coca,Ecuador,OCC,SECO,
30,Ocean City MunicipalClosed,Closed,Ocean City,United States,OCE,,
31,Ocean City Municipal,Small airport,Ocean City,United States,OCE,KOXB,OXB
32,Ocala International - Jim Taylor Field,Small airport,Ocala,United States,OCF,KOCF,OCF
33,OceanicClosed,Closed,Oceanic,United States,OCI,,
34,Boscobel Aerodrome,Medium airport,Ocho Rios,Jamaica,OCJ,MKBS,
35,Oceanside MunicipalClosed,Closed,Oceanside,United States,OCN,,
36,Aguas Claras,Medium airport,Ocaña,Colombia,OCV,SKOC,
37,Warren Field,Small airport,Washington,United States,OCW,KOCW,OCW
38,Ouadda,Small airport,Ouadda,Central African Republic,ODA,FEFW,
39,Córdoba,Medium airport,Córdoba,Spain,ODB,LEBA,
40,Oakdale,Small airport,Oakdale,United States,ODC,O27,O27
41,Oodnadatta,Small airport,,Australia,ODD,YOOD,
42,Odense,Medium airport,Odense,Denmark,ODE,EKOD,
43,RAF Odiham,Medium airport,Odiham,United Kingdom,ODH,EGVO,
44,Ouanda Djallé,Small airport,Ouanda Djallé,Central African Republic,ODJ,FEGO,
45,Cordillo Downs,Small airport,Cordillo Downs,Australia,ODL,YCOD,
46,Long Seridan,Small airport,Long Seridan,Malaysia,ODN,WBGI,
47,Bodaybo,Small airport,Bodaybo,Russia,ODO,UIKB,
48,Ord River,Small airport,Ord River,Australia,ODR,YORV,
49,Odessa International,Large airport,Odessa,Ukraine,ODS,UKOO,
50,AJ Eisenberg,Small airport,Oak Harbor,United States,ODW,KOKH,OKH
51,Oudomsay,Small airport,Oudomsay,Laos,ODY,VLOS,
52,O'NealClosed,Closed,Vincennes,United States,OEA,,
53,O'Neal,Small airport,Vincennes,United States,OEA,KOEA,IL16
54,Oecussi,Small airport,Oecussi-Ambeno,Timor-Leste,OEC,WPOC,
55,Oryol Yuzhny,Medium airport,Orel,Russia,OEL,UUOR,
56,Vincent Fayks,Small airport,Paloemeu,Suriname,OEM,SMPA,
57,L O Simenstad Municipal,Small airport,Osceola,United States,OEO,KOEO,OEO
58,Örnsköldsvik,Medium airport,Örnsköldsvik,Sweden,OER,ESNO,
59,Antoine De St Exupery,Small airport,San Antonio Oeste,Argentina,OES,SAVN,
60,Offutt Air Force Base,Medium airport,Omaha,United States,OFF,KOFF,OFF
61,Ouango Fitini,Small airport,Ouango Fitini,Côte d'Ivoire,OFI,DIOF,
62,Ólafsfjörður,Small airport,Ólafsfjörður,Iceland,OFJ,BIOF,
63,Karl Stefan Memorial,Medium airport,Norfolk,United States,OFK,KOFK,OFK
64,Ofu Village,Small airport,Ofu Village,American Samoa,OFU,NSAS,Z08
65,Searle Field,Small airport,Ogallala,United States,OGA,KOGA,OGA
66,Orangeburg Municipal,Medium airport,Orangeburg,United States,OGB,KOGB,OGB
67,Ogden Hinckley,Medium airport,Ogden,United States,OGD,KOGD,OGD
68,Ogeranang,Small airport,,Papua New Guinea,OGE,AYOG,
69,Kahului,Medium airport,Kahului,United States,OGG,PHOG,OGG
70,Ogle,Medium airport,Ogle,Guyana,OGL,SYGO,
71,Yonaguni,Medium airport,,Japan,OGN,ROYN,
72,Abengourou,Small airport,Abengourou,Côte d'Ivoire,OGO,DIAU,
73,Bongor,Small airport,Bongor,Chad,OGR,FTTB,
74,Ogdensburg International,Small airport,Ogdensburg,United States,OGS,KOGS,OGS
75,Ordu Giresun,Small airport,Ordu,Turkey,OGU,LTCB,
76,Ongava Game ReserveClosed,Closed,Ongava Game Reserve,Namibia,OGV,,
77,Ain el Beida,Medium airport,Ouargla,Algeria,OGX,DAUU,
78,Beslan,Medium airport,Beslan,Russia,OGZ,URMO,
79,RNZAF Base Ohakea,Medium airport,,New Zealand,OHA,NZOH,
80,Ambohibary,Small airport,Moramanga,Madagascar,OHB,FMFE,
81,AFSClosed,Closed,Northeast Cape,United States,OHC,,
82,Ohrid St. Paul the Apostle,Medium airport,Ohrid,North Macedonia,OHD,LWOH,
83,Okha,Small airport,Okha,Russia,OHH,UHSH,
84,Oshakati,Small airport,Oshakati,Namibia,OHI,FYOS,
85,Okhotsk,Medium airport,Okhotsk,Russia,OHO,UHOO,
86,Wyk auf Föhr,Small airport,Wyk auf Föhr,Germany,OHR,EDXY,
87,Kohat,Small airport,Kohat,Pakistan,OHT,OPKT,
